"POA_CODE_2016","POA_NUMBER_2016","POA_NAME_2016","AREA_ALBERS_SQKM"
"2333",2333,"2333",1644.1168
"2334",2334,"2334",20.7073
"2335",2335,"2335",268.4372
"2336",2336,"2336",888.9717
"2337",2337,"2337",3331.7271
"2338",2338,"2338",989.4776
"2339",2339,"2339",1120.8459
"2340",2340,"2340",3352.9984
"2341",2341,"2341",227.9108
"2342",2342,"2342",561.0816
"2343",2343,"2343",3352.8924
"2344",2344,"2344",339.1674
"2345",2345,"2345",291.7831
"2346",2346,"2346",1967.8028
"2347",2347,"2347",3035.4851
"2350",2350,"2350",4541.3656
"2351",2351,"2351",1.8617
"2352",2352,"2352",434.2708
"2353",2353,"2353",198.8995
"2354",2354,"2354",7142.149
"2355",2355,"2355",918.5516
"2356",2356,"2356",542.7306
"2357",2357,"2357",3668.1781
"2358",2358,"2358",1905.5433
"2359",2359,"2359",1294.1139
"2360",2360,"2360",3385.2978
"2361",2361,"2361",1962.877
"2365",2365,"2365",3804.6686
"2369",2369,"2369",347.5058
"2370",2370,"2370",4769.4223
"2371",2371,"2371",1900.6028
"2372",2372,"2372",4894.197
"2379",2379,"2379",1371.0388
"2380",2380,"2380",2089.1897
"2381",2381,"2381",1723.0745
"2382",2382,"2382",1826.3389
"2386",2386,"2386",1979.4029
"2387",2387,"2387",1388.5196
"2388",2388,"2388",6699.0871
"2390",2390,"2390",4217.1071
"2395",2395,"2395",823.5473
"2396",2396,"2396",1480.8723
"2397",2397,"2397",1694.9079
"2398",2398,"2398",953.5519
"2399",2399,"2399",806.3755
"2400",2400,"2400",7569.009
"2401",2401,"2401",652.7933
"2402",2402,"2402",1631.0064
"2403",2403,"2403",1006.9407
"2404",2404,"2404",1992.4545
"2405",2405,"2405",3420.91
"2406",2406,"2406",3283.8754
"2408",2408,"2408",1561.154
"2409",2409,"2409",1608.9724
"2410",2410,"2410",1532.7752
"2411",2411,"2411",396.9284
"2415",2415,"2415",451.8325
"2420",2420,"2420",1023.5128
"2421",2421,"2421",244.7457
"2422",2422,"2422",3212.5916
"2423",2423,"2423",1346.8032
"2424",2424,"2424",881.6889
"2425",2425,"2425",518.0099
"2426",2426,"2426",71.3349
"2427",2427,"2427",39.8682
"2428",2428,"2428",320.3653
"2429",2429,"2429",1799.9008
"2430",2430,"2430",843.4816
"2431",2431,"2431",45.9673
"2439",2439,"2439",266.1753
"2440",2440,"2440",3604.2399
"2441",2441,"2441",917.9574
"2443",2443,"2443",408.7852
"2444",2444,"2444",209.8406
"2445",2445,"2445",76.8107
"2446",2446,"2446",2320.597
"2447",2447,"2447",566.6442
"2448",2448,"2448",115.0676
"2449",2449,"2449",582.3621
"2450",2450,"2450",1019.7179
"2452",2452,"2452",12.7764
"2453",2453,"2453",2157.9951
"2454",2454,"2454",963.9769
"2455",2455,"2455",48.0551
"2456",2456,"2456",205.4446
"2460",2460,"2460",6590.3611
"2462",2462,"2462",470.532
"2463",2463,"2463",549.2925
"2464",2464,"2464",102.8533
"2465",2465,"2465",23.5903
"2466",2466,"2466",40.6793
"2469",2469,"2469",3827.0398
"2470",2470,"2470",1256.5159
"2471",2471,"2471",442.1506
"2472",2472,"2472",466.4076
"2473",2473,"2473",31.366
"2474",2474,"2474",1537.6315
"2475",2475,"2475",494.7232
"2476",2476,"2476",805.2007
"2477",2477,"2477",227.642
"2478",2478,"2478",185.6501
"2479",2479,"2479",164.5709
"2480",2480,"2480",1369.4567
"2481",2481,"2481",131.0291
"2482",2482,"2482",180.2681
"2483",2483,"2483",182.7314
"2484",2484,"2484",972.3177
"2485",2485,"2485",13.7352
"2486",2486,"2486",100.2248
"2487",2487,"2487",66.6062
"2488",2488,"2488",13.626
"2489",2489,"2489",14.5419
"2490",2490,"2490",22.4375
"2500",2500,"2500",26.5668
"2502",2502,"2502",9.1601
"2505",2505,"2505",13.6228
"2506",2506,"2506",7.3207
"2508",2508,"2508",162.241
"2515",2515,"2515",14.2268
"2516",2516,"2516",8.6615
"2517",2517,"2517",9.1114
"2518",2518,"2518",12.6178
"2519",2519,"2519",9.2816
"2522",2522,"2522",0.5912
"2525",2525,"2525",8.5595
"2526",2526,"2526",132.2947
"2527",2527,"2527",96.0698
"2528",2528,"2528",11.163
"2529",2529,"2529",40.4464
"2530",2530,"2530",88.3671
"2533",2533,"2533",106.4037
"2534",2534,"2534",76.2287
"2535",2535,"2535",247.9753
"2536",2536,"2536",974.8377
"2537",2537,"2537",1167.0234
"2538",2538,"2538",390.357
"2539",2539,"2539",686.166
"2540",2540,"2540",1900.7277
"2541",2541,"2541",45.4319
"2545",2545,"2545",876.5468
"2546",2546,"2546",911.2673
"2548",2548,"2548",120.1179
"2549",2549,"2549",222.9511
"2550",2550,"2550",3966.6691
"2551",2551,"2551",1398.1385
"2555",2555,"2555",26.981
"2556",2556,"2556",40.2134
"2557",2557,"2557",36.6246
"2558",2558,"2558",7.6039
"2559",2559,"2559",4.3495
"2560",2560,"2560",411.3139
"2563",2563,"2563",11.5603
"2564",2564,"2564",9.0236
"2565",2565,"2565",29.7638
"2566",2566,"2566",28.2936
"2567",2567,"2567",31.3652
"2568",2568,"2568",34.0936
"2569",2569,"2569",26.7707
"2570",2570,"2570",469.364
"2571",2571,"2571",250.2842
"2572",2572,"2572",106.1733
"2573",2573,"2573",16.9782
"2574",2574,"2574",350.23
"2575",2575,"2575",973.4283
"2576",2576,"2576",174.2442
"2577",2577,"2577",1320.5648
"2578",2578,"2578",47.9223
"2579",2579,"2579",860.117
"2580",2580,"2580",5244.2434
"2581",2581,"2581",2106.6075
"2582",2582,"2582",3062.7038
"2583",2583,"2583",3382.689
"2584",2584,"2584",281.3129
"2585",2585,"2585",260.132
"2586",2586,"2586",2323.2504
"2587",2587,"2587",921.8587
"2588",2588,"2588",218.0548
"2590",2590,"2590",1320.4638
"2594",2594,"2594",2418.7153
"2600",2600,"2600",23.3394
"2601",2601,"2601",15.233
"2602",2602,"2602",21.9721
"2603",2603,"2603",9.2066
"2604",2604,"2604",5.4945
"2605",2605,"2605",9.2938
"2606",2606,"2606",9.0325
"2607",2607,"2607",10.2741
"2609",2609,"2609",114.7861
"2611",2611,"2611",1514.8991
"2612",2612,"2612",9.4533
"2614",2614,"2614",11.1128
"2615",2615,"2615",28.5784
"2617",2617,"2617",92.0837
"2618",2618,"2618",267.4142
"2619",2619,"2619",11.3301
"2620",2620,"2620",2882.9104
"2621",2621,"2621",853.2358
"2622",2622,"2622",4524.5366
"2623",2623,"2623",166.9084
"2625",2625,"2625",1.0856
"2626",2626,"2626",383.5687
"2627",2627,"2627",3003.2461
"2628",2628,"2628",2336.2568
"2629",2629,"2629",1394.1965
"2630",2630,"2630",4206.2229
"2631",2631,"2631",1199.4934
"2632",2632,"2632",1825.4246
"2633",2633,"2633",766.0264
"2640",2640,"2640",1030.2208
"2641",2641,"2641",33.5384
"2642",2642,"2642",4076.6747
"2643",2643,"2643",156.0675
"2644",2644,"2644",2157.7365
"2645",2645,"2645",1181.6878
"2646",2646,"2646",2896.3329
"2647",2647,"2647",356.9304
"2648",2648,"2648",23897.3245
"2649",2649,"2649",247.113
"2650",2650,"2650",4061.2382
"2651",2651,"2651",34.62
"2652",2652,"2652",6116.1136
"2653",2653,"2653",1228.8205
"2655",2655,"2655",427.2764
"2656",2656,"2656",1497.1368
"2658",2658,"2658",748.0545
"2659",2659,"2659",367.5445
"2660",2660,"2660",451.2793
"2661",2661,"2661",14.7623
"2663",2663,"2663",492.6429
"2665",2665,"2665",4109.6275
"2666",2666,"2666",2462.5856
"2668",2668,"2668",708.1132
"2669",2669,"2669",6295.3459
"2671",2671,"2671",3297.735
"2672",2672,"2672",1794.2389
"2675",2675,"2675",8518.5583
"2678",2678,"2678",3.5099
"2680",2680,"2680",1894.451
"2681",2681,"2681",471.7586
"2700",2700,"2700",3517.6729
"2701",2701,"2701",852.1158
"2702",2702,"2702",439.8686
"2703",2703,"2703",56.8879
"2705",2705,"2705",1129.153
"2706",2706,"2706",725.4015
"2707",2707,"2707",2112.3438
"2710",2710,"2710",10466.1616
"2711",2711,"2711",24180.2552
"2712",2712,"2712",966.5164
"2713",2713,"2713",970.3101
"2714",2714,"2714",708.6639
"2715",2715,"2715",13750.0969
"2716",2716,"2716",2360.4525
"2717",2717,"2717",134.5633
"2720",2720,"2720",2485.6548
"2721",2721,"2721",539.5029
"2722",2722,"2722",1231.0262
"2725",2725,"2725",262.3734
"2726",2726,"2726",160.6689
"2727",2727,"2727",981.5874
"2729",2729,"2729",1069.5666
"2730",2730,"2730",420.4857
"2731",2731,"2731",1428.4231
"2732",2732,"2732",1849.8493
"2733",2733,"2733",2279.3517
"2734",2734,"2734",1755.2966
"2735",2735,"2735",271.5744
